fin_flag,pool_based_flag,sale_ledger_flag,doc_year,doc_yrmo,doc_id,doc_usd_amt
N,N,Y,2001,200104,1,24178.99
N,N,Y,2008,200801,15,353037.0
N,N,Y,2008,200802,30,954230.5
N,N,Y,2008,200803,23,1051543.12
N,N,Y,2008,200804,34,655068.703137
N,N,Y,2008,200805,15,274181.3
N,N,Y,2008,200806,4,42721.0
N,N,Y,2009,200901,1,11276.4
N,N,Y,2009,200902,2,11516.0203241
N,N,Y,2009,200903,11,344545.12
N,N,Y,2009,200904,4,662725.16
N,N,Y,2009,200905,7,21669.79
N,N,Y,2009,200906,6,80045.65
N,N,Y,2009,200907,11,526274.46
N,N,Y,2009,200908,6,251930.23
N,N,Y,2009,200909,10,65461.4
N,N,Y,2009,200910,17,589191.42
N,N,Y,2009,200911,20,221310.929601
N,N,Y,2009,200912,54,1430011.72855
N,N,Y,2010,201001,28,441890.551356
N,N,Y,2010,201002,50,5019553.16496
N,N,Y,2010,201003,58,990073.025611
N,N,Y,2010,201004,77,352038.929114
N,N,Y,2010,201005,109,1878562.99973
N,N,Y,2010,201006,202,2128586.8036
N,N,Y,2010,201007,158,1982890.5378
N,N,Y,2010,201008,103,1496599.15939
N,N,Y,2010,201009,115,1773848.65234
N,N,Y,2010,201010,107,1477545.91073
N,N,Y,2010,201011,160,6902735.6802
N,N,Y,2010,201012,195,3497180.70094
N,N,Y,2011,201101,208,3052247.12601
N,N,Y,2011,201102,236,3165065.51546
N,N,Y,2011,201103,248,4225095.23859
N,N,Y,2011,201104,179,4665054.34409
N,N,Y,2011,201105,231,54971689.8785
N,N,Y,2011,201106,246,91137666.2349
N,N,Y,2011,201107,143,34003244.6699
N,N,Y,2011,201108,200,33884057.5577
N,N,Y,2011,201109,182,34981762.4196
N,N,Y,2011,201110,129,19297610.7734
N,N,Y,2011,201111,110,6163207.884
N,N,Y,2011,201112,92,6114360.21061
N,N,Y,2012,201201,126,4979816.70512
N,N,Y,2012,201202,133,4824665.02487
N,N,Y,2012,201203,155,3500744.30574
N,N,Y,2012,201204,185,6506020.49666
N,N,Y,2012,201205,191,2283242.11049
N,N,Y,2012,201206,200,3850412.39328
N,N,Y,2012,201207,199,8448095.46886
N,N,Y,2012,201208,178,2994099.60286
N,N,Y,2012,201209,198,3206075.57952
N,N,Y,2012,201210,209,5362840.80268
N,N,Y,2012,201211,122,1713733.19735
N,N,Y,2012,201212,100,3932824.31668
N,N,Y,2013,201301,173,2884917.60234
N,N,Y,2013,201302,123,4224770.33452
N,N,Y,2013,201303,174,3112770.53364
N,N,Y,2013,201304,194,6160759.46855
N,N,Y,2013,201305,187,9247747.8
N,N,Y,2013,201306,258,8527006.45292
N,N,Y,2013,201307,171,10932558.9351
N,N,Y,2013,201308,170,12626978.0052
N,N,Y,2013,201309,158,3593267.8978
N,N,Y,2013,201310,107,3059330.86535
N,N,Y,2013,201311,134,973232.520258
N,N,Y,2013,201312,145,3206579.51968
N,N,Y,2014,201401,219,3729947.45257
N,N,Y,2014,201402,489,4584312.01061
N,N,Y,2014,201403,349,5342001.20028
N,N,Y,2014,201404,175,4782161.86247
N,N,Y,2014,201405,138,1612252.6036
N,N,Y,2014,201406,176,7340256.62314
N,N,Y,2014,201407,175,6518906.62719
N,N,Y,2014,201408,131,3153918.5037
N,N,Y,2014,201409,212,4434344.7671
N,N,Y,2014,201410,167,5164514.66763
N,N,Y,2014,201411,169,3937399.16499
N,N,Y,2014,201412,214,4885863.84667
N,N,Y,2015,201501,178,6047682.84618
N,N,Y,2015,201502,170,6312322.15383
N,N,Y,2015,201503,363,12833166.5986
N,N,Y,2015,201504,337,12120036.4437
N,N,Y,2015,201505,263,8649661.3747
N,N,Y,2015,201506,351,9532399.76776
N,N,Y,2015,201507,382,12928041.3101
N,N,Y,2015,201508,422,14797683.6296
N,N,Y,2015,201509,316,9779284.81554
N,N,Y,2015,201510,221,3923963.02888
N,N,Y,2015,201511,330,5068643.53062
N,N,Y,2015,201512,251,9693705.47657
N,N,Y,2016,201601,226,5156395.13186
N,N,Y,2016,201602,263,2740718.83769
N,N,Y,2016,201603,377,6012549.46614
N,N,Y,2016,201604,168,2328102.96897
N,N,Y,2016,201605,222,2830557.15947
N,N,Y,2016,201606,225,3182082.43182
N,N,Y,2016,201607,183,3563786.72313
N,N,Y,2016,201608,128,5264062.9437
N,N,Y,2016,201609,175,2459991.10683
N,N,Y,2016,201610,232,3271957.05224
N,N,Y,2016,201611,198,5362492.77296
N,N,Y,2016,201612,442,5527513.25505
N,N,Y,2017,201701,282,5903528.91674
N,N,Y,2017,201702,171,4318588.82376
N,N,Y,2017,201703,420,15557687.3873
N,N,Y,2017,201704,802,34687959.7213
N,N,Y,2017,201705,233,11424359.435
N,N,Y,2017,201706,119,2113947.85154
N,N,Y,2017,201707,135,3310286.12924
N,N,Y,2017,201708,101,1859739.68375
N,N,Y,2017,201709,47,401416.580589
N,Y,Y,2001,200103,2,
N,Y,Y,2001,200109,1,
N,Y,Y,2001,200111,1,
N,Y,Y,2007,200702,2,
N,Y,Y,2007,200704,2,
N,Y,Y,2007,200706,1,
N,Y,Y,2007,200707,1,
N,Y,Y,2007,200709,3,
N,Y,Y,2007,200711,1,
N,Y,Y,2007,200712,1,
N,Y,Y,2008,200801,1,
N,Y,Y,2008,200802,1,
N,Y,Y,2008,200803,1,1700.56765843
N,Y,Y,2008,200804,5,2968.87904092
N,Y,Y,2008,200805,9,51383.1834625
N,Y,Y,2008,200806,74,1812109.61596
N,Y,Y,2008,200807,90,508212.656587
N,Y,Y,2008,200808,215,16420791.2084
N,Y,Y,2008,200809,240,15937727.4577
N,Y,Y,2008,200810,394,18424052.625
N,Y,Y,2008,200811,523,6502110.89607
N,Y,Y,2008,200812,823,22091100.7722
N,Y,Y,2009,200901,673,22943358.6992
N,Y,Y,2009,200902,600,18255202.4337
N,Y,Y,2009,200903,673,13278618.0232
N,Y,Y,2009,200904,530,10126582.2632
N,Y,Y,2009,200905,789,19666553.7171
N,Y,Y,2009,200906,1196,32145411.4157
N,Y,Y,2009,200907,1558,20054774.3402
N,Y,Y,2009,200908,1965,43879870.6652
N,Y,Y,2009,200909,2548,48630236.5696
N,Y,Y,2009,200910,2137,59859979.9616
N,Y,Y,2009,200911,2080,39727363.1028
N,Y,Y,2009,200912,2511,48175690.0831
N,Y,Y,2010,201001,2549,43089575.2631
N,Y,Y,2010,201002,1811,37408504.6179
N,Y,Y,2010,201003,2368,51276346.7288
N,Y,Y,2010,201004,2528,106410459.054
N,Y,Y,2010,201005,2538,48887047.256
