client_id,le_id
100000002,11204367
100000003,11370540
100000005,11590413
100000007,13685565
100000008,11537255
100000013,12665604
100000015,11590399
100000018,11590402
100000020,11590411
100000021,11537287
100000022,11304248
100000025,11207168
100000028,11208475
100000029,11228022
100000030,11208731
100000032,11208734
100000040,11201986
100000043,11203490
100000044,11195945
100000046,11936143
100000049,11208639
100000050,11619769
100000052,11208630
100000053,11208628
100000058,11208631
100000059,11201631
100000061,11208473
100000068,11208519
100000070,11217798
100000074,11190446
100000077,11148030
100000078,11208644
100000080,11208474
100000089,11086096
100000090,11085485
100000124,11620067
100000152,11205973
100000344,11128527
100000507,11084099
100000508,11084716
100000510,11190540
100000512,11085435
100000513,11085763
100000514,11160711
100000515,11161579
100000516,11183086
100000518,11196866
100000519,11196867
100000521,11085176
100000523,11214063
100000524,11219030
100000544,11149391
100000545,11085757
100000567,11328348
100000575,11085912
100000576,11004039
100000594,13424897
100000601,11225336
100000612,11022858
100000661,11333852
100000671,11280115
100000681,11246392
100000725,11121214
100000727,11150220
100000847,11270099
100000898,11689019
100000929,11688820
100000947,11221085
100000961,11709138
100001023,11156850
100001031,11167013
100001047,11324407
100001089,11349399
100001094,11307490
100001108,11002194
100001216,11260413
100001263,11162545
100001277,11200789
100001292,11333850
100001296,11002200
100001318,11772869
100001337,11325719
100001405,11146017
100001420,11132150
100001548,11225567
100001577,12989068
100001634,11224357
100001654,11250769
100001657,11184014
100001777,11221772
100001788,11040275
100001812,11018477
100001818,11249675
100001819,11154421
100001831,13586128
100001843,13206416
100001873,11237779
100001877,11004498
100001889,11235430
100001906,11078013
100001907,11245349
100001927,11710480
100002003,11347573
100002012,11359852
100002094,11688974
100002103,11708185
100002109,11244704
100002124,11002402
100002146,11314565
100002176,11688743
100002231,11094047
100002233,11094037
100002264,11274133
100002301,11176459
100002358,11163766
100002368,13413163
100002399,11708261
100002474,11431561
100002485,11234945
100002603,11232687
100002671,11355005
100002701,11173034
100002752,11341163
100002776,11334445
100002782,11079168
100002790,11300014
100002822,11046452
100002863,11233008
100002884,11076053
100002887,11253583
100002896,11463875
100002952,13472338
100002968,11090618
100002995,11333794
100003034,11118026
100003035,11202946
100003111,11692007
100003113,11283183
100003136,11438832
100003184,11272235
100003192,11694739
100003196,11263837
100003227,11190889
100003229,11268473
100003261,11006091
100003311,11002177
100003317,11221471
100003354,11917164
100003366,11155035
100003373,11334869
100003402,11002539
100003427,11266439
100003464,11305547
100003477,13452255
100003484,11499912
100003485,11309169
100003494,11232987
100003506,11307686
100003515,11251244
100003562,11229312
100003594,11696035
100003630,11001178
100003655,11350707
100003717,11165455
100003719,11245282
100003745,11537488
100003768,11147307
100003803,11371879
100003824,11787388
100003829,11310150
100003874,11045724
100003889,11251452
100003890,11207533
100003918,11224179
100003925,13476990
100003928,11343555
100003939,11224225
100004038,11885310
100004077,11270184
100004078,11771529
100004126,13473888
100004183,11248564
100004280,11001267
100004287,11659610
100004365,11254616
100004366,11241176
100004388,11002187
100004428,11235981
100004440,11689250
100004445,11001834
100004506,11130423
100004508,11002461
100004519,11204062
100004549,11245540
100004555,11001083
100004556,11001028
100004557,11000781
100004558,11001193
100004561,11001721
100004562,11000758
100004564,11002401
100004565,11001192
100004567,11000731
100004568,11002216
100004570,11000651
100004573,11151896
100004576,11002300
100004577,11003241
100004578,11004507
100004579,11002541
100004580,11001061
100004581,11002278
100004582,11001346
100004585,11000936
100004586,12098883
100004590,11000716
100004591,11000944
100004592,11885427
100004593,11884230
100004594,11177551
100004595,11031002
100004596,11123550
100004597,11002440
100004599,11006020
100004600,11002153
100004601,11002275
100004602,11000907
100004604,11006039
100004610,11004444
100004611,11132765
100004613,11122900
100004614,11002254
100004615,11002825
100004616,11175894
100004618,11002406
100004622,11003019
100004623,11215768
100004624,11011624
100004626,11148732
100004632,11011559
100004634,11002633
100004635,11002820
100004636,11002503
100004638,11676060
100004641,11001226
100004643,11003102
100004644,11002566
100004646,11002037
100004649,11010870
100004650,11002779
100004651,11003046
100004652,11002894
100004653,11002967
100004654,11002366
100004656,11002686
100004658,11213146
100004659,11166534
100004660,11002976
100004663,11011578
100004668,11002484
100004670,11002794
100004671,11151899
100004672,11002944
100004673,11002839
100004675,11167538
100004678,11003322
100004680,11067829
100004682,11003119
100004683,11003368
100004685,11003381
100004688,11002285
100004690,11003305
100004691,11213728
100004692,11003052
100004693,11002525
100004694,11003445
100004699,11003378
100004700,11003074
100004703,11002816
100004705,11234959
100004706,11068000
100004708,11002341
100004711,11013080
100004712,11003172
100004713,11011410
100004717,11692183
100004718,11003690
100004719,11003641
100004720,11191613
100004721,11003502
100004722,11003765
100004726,11003668
100004727,11125307
100004728,11002559
100004731,11034760
100004732,11012997
100004735,11003782
100004736,11006698
100004740,11344677
100004742,11003987
100004743,11158254
100004746,11012994
100004747,11356221
100004749,11183629
100004750,11148302
100004751,11002877
100004752,11001701
100004754,11001822
100004756,11003763
100004758,11044211
100004759,11004141
100004760,11004130
100004763,11004185
100004764,11003754
100004766,11002641
100004767,11004212
100004768,11003766
100004770,11006901
100004771,11010023
100004772,11003145
100004778,11003640
100004781,11002921
100004784,11003978
100004786,11000237
100004788,11004131
100004789,11003426
100004793,11004265
100004795,11011937
100004797,11199694
100004798,11004388
100004800,11203467
100004802,11007084
100004803,11356833
100004804,11010153
100004805,11010281
100004807,11003396
100004809,11004410
100004814,11007120
100004817,11003664
100004818,11004598
100004819,11000343
100004823,11000327
100004826,11010299
100004827,11155325
100004828,11692341
100004829,11164145
100004830,11153761
100004833,11010929
100004835,11177682
100004839,11211341
100004840,11010874
100004841,11011505
100004843,11011482
100004847,11707613
100004851,11011827
100004852,11217141
100004853,11011723
100004854,11159404
100004855,11012438
100004856,11078316
100004858,11359342
100004860,11012696
100004864,11011977
100004871,11208115
100004873,11191375
100004876,11040864
100004881,11054532
100004883,11707882
100004884,11150996
100004885,11305619
100004888,11159695
100004891,11068074
100004892,11078755
100004907,11079111
100004909,11179868
100004910,11086716
100004914,11086211
100004916,11079009
100004917,11096078
100004918,11201103
100004919,11692325
100004920,11149178
100004921,11156062
100004925,11086977
100004928,11172595
100004929,11097420
100004933,11163277
100004934,11160745
100004936,11098236
100004937,11523246
100004938,11112513
100004940,11112791
100004945,11466992
100004947,11131786
100004948,11112688
100004949,11166400
100004953,11219012
100004958,11097500
100004959,11127976
100004960,11127721
100004964,11203302
100004966,11097295
100004967,11161333
100004975,11130692
100004976,11130806
100004977,11130872
100004979,11130265
100004982,11132672
100004984,11131169
100004986,11131636
100004988,11131972
100004989,11130166
100004990,11128058
100004992,11884858
100004993,11149077
100004996,11130170
100004997,11132797
100004998,11132155
100005000,11884428
100005001,11151626
100005003,11147273
100005006,11132594
100005008,11147417
100005011,11147282
100005012,11130502
100005013,11148491
100005014,11131086
100005015,11148314
100005018,11302191
100005022,11132798
100005023,11149625
100005025,11148005
100005028,11150127
100005029,11130039
100005031,11150513
100005033,11149687
100005037,11149801
100005039,11149093
100005040,11149737
100005043,11150436
100005044,11267969
100005045,11203089
100005049,11150128
100005050,11150985
100005051,11203762
100005052,11003649
100005053,11148492
100005057,11151876
100005058,11132399
100005061,11152798
100005064,11152837
100005065,11152330
100005068,11154261
100005072,11152409
100005074,11154562
100005075,11087271
100005076,11154979
100005081,11159151
100005083,11156247
100005088,11165451
100005089,11062853
100005090,11155543
100005092,11157930
100005093,11155695
100005096,11155600
100005099,11709925
100005105,11158730
100005107,11162198
100005108,11198064
100005109,11251981
100005110,11157652
100005112,11158166
100005116,11156167
100005117,11161721
100005118,11159533
100005121,11160369
100005122,11158968
100005124,11160656
100005126,11161842
100005128,11334063
100005129,11708069
100005131,11162646
100005133,11161954
100005135,11160012
100005136,11163020
100005140,11167079
100005143,11163613
100005145,11337446
100005147,11163249
100005148,11164045
100005149,11165810
100005150,11155484
100005151,11163638
100005156,11163687
100005157,11168378
100005158,11164517
100005160,11359190
100005163,11165139
100005165,11164804
100005168,11164980
100005170,11164889
100005174,11163114
100005175,11694364
100005176,11164770
100005177,11166491
100005183,11164767
100005184,11164769
100005185,11166384
100005186,11167080
100005187,13479387
100005188,11478752
100005190,11167925
100005192,11201451
100005193,11167663
100005194,11167617
100005195,11255987
100005198,11129815
100005199,11182413
100005200,11966243
100005202,11168507
100005205,11168035
100005208,11169406
100005210,11692191
100005211,11171433
100005215,11171855
100005216,11172783
100005217,11309783
100005222,11174191
100005224,11315805
100005225,11174760
100005226,11334425
100005228,11178814
100005234,11173880
100005235,11178781
100005237,11178904
100005238,11175847
100005239,11175702
100005242,11179005
100005246,11180261
100005247,11180632
100005248,11178848
100005254,11180002
100005255,11181595
100005256,11182365
100005257,11181494
100005258,11182076
100005259,11182042
100005260,11353005
100005261,11182965
100005262,11183088
100005264,11183486
100005265,11691991
100005269,11252305
100005270,11184261
100005272,11184431
100005273,11184462
100005274,11184786
100005275,11184791
100005278,11184582
100005279,11184963
100005282,11189854
100005283,11165054
100005289,11333818
100005290,11187074
100005291,11184502
100005293,11187848
100005295,11687940
100005296,11688341
100005297,11688465
100005302,11188853
100005305,11189013
100005308,11189737
100005309,11358495
100005320,11282439
100005325,11191074
100005328,11211111
100005330,11184093
100005331,11192806
100005336,11193161
100005338,11354287
100005339,11193824
100005342,11695626
100005343,11206133
100005349,11350690
100005350,11195410
100005351,11195415
100005355,11333816
100005356,11196877
100005358,11196770
100005359,11274277
100005362,11153644
100005364,11200673
100005366,11209281
100005368,11409599
100005371,11695143
100005372,11199269
100005375,11242355
100005379,11694302
100005380,11258293
100005382,11200573
100005385,11200286
100005391,11201048
100005392,11201093
100005394,11190849
100005402,11201852
100005404,11201851
100005406,11348417
100005407,11417441
100005408,11266356
100005409,11202429
100005410,11473092
100005411,11202808
100005412,11678260
100005413,11202260
100005416,11203590
100005417,11688328
100005419,11203803
100005421,11203839
100005424,11203744
100005425,11211812
100005426,11252216
100005428,11204039
100005429,11204208
100005432,11204198
100005433,11454352
100005438,11334720
100005440,11204904
100005442,11332432
100005446,11205124
100005449,11206016
100005450,11206593
100005452,11002254
100005453,11223593
100005454,11356184
100005455,11204513
100005457,11691068
100005462,11206274
100005467,11206945
100005468,11427039
100005470,11207220
100005477,11207505
100005478,11696575
100005481,11225792
100005482,11696564
100005484,11258294
100005489,11885072
100005490,11709997
100005492,11694263
100005497,11688920
100005498,11209215
100005501,11209009
100005503,11694354
100005510,11688168
100005511,11211763
100005512,11212396
100005514,11211887
100005516,11212306
100005518,11161642
100005520,11212350
100005522,11212502
100005526,11212394
100005527,11212401
100005529,11212866
100005530,11709779
100005531,11213181
100005533,11213933
100005535,11214035
100005536,11214006
100005537,11213925
100005540,11213948
100005542,11214007
100005545,11213215
100005549,11215771
100005550,11884078
100005557,11216048
100005558,11216979
100005562,11217203
100005563,11217810
100005568,11202910
100005569,11218267
100005572,11218146
100005575,11218109
100005576,11217941
100005577,11617118
100005578,11216143
100005579,11218360
100005581,11218761
100005583,11218981
100005584,11218961
100005586,11219045
100005588,11221063
100005590,11219413
100005591,11219159
100005593,11220964
100005594,11210784
100005595,11219617
100005599,11217846
100005600,11221828
100005601,11250551
100005602,11709092
100005603,11222218
100005606,11226910
100005607,11222292
100005608,11222326
100005609,11221344
100005613,11222416
100005615,11688394
100005617,11222515
100005622,11688553
100005625,11223612
100005626,11526645
100005627,11224245
100005628,11224264
100005629,11486972
100005630,11708541
100005631,11694499
100005632,11224359
100005637,11224650
100005640,11225119
100005641,11221192
100005643,11225154
100005646,11225763
100005653,11226654
100005671,11124076
100005672,11001149
100005684,11246545
100005702,11245626
100005768,11001885
100005813,11691389
100005836,11200270
100005845,11188026
100005846,11004194
100005850,11695679
100005856,11000815
100005868,11422402
100005872,11001896
100005884,11001654
100005888,11001850
100005890,11000627
100005896,11001011
100005898,11633640
100005899,11004476
100005901,11001644
100005912,11001532
100005923,11001013
100005925,11001853
100005938,11001235
100005941,11002363
100005950,11001679
100005951,11167441
100005971,11000678
100005997,11001487
100005998,11001983
100006007,11001179
100006045,11002456
100006046,11002302
100006052,11000747
100006067,11345580
100006073,11002973
100006079,11221029
100006086,11002962
100006100,11002714
100006102,11001615
100006115,11000615
100006144,11001305
100006166,11002293
100006167,11223352
100006170,11003161
100006176,11002922
100006177,11002585
100006179,11078333
100006196,11003236
100006205,11001937
100006211,11163847
100006223,11155610
100006231,11128986
100006235,11213994
100006242,11002986
100006250,11002211
100006252,11006596
100006255,11086291
100006258,11002136
100006270,11002953
100006275,11001369
100006284,11003387
100006290,11013071
100006309,11002688
100006318,11174246
100006321,11002200
100006326,11002706
100006361,11003804
100006384,11003901
100006391,11166426
100006392,11002409
100006397,11001374
100006409,11148777
100006420,11002547
100006423,11033648
100006428,11169252
100006429,11003692
100006430,11003618
100006432,11004075
100006433,11047023
100006441,11131249
100006448,11340142
100006452,11689503
100006502,11265361
100006509,11004035
100006511,11062085
100006515,11004170
100006519,11002223
100006520,11010910
100006525,11010908
100006531,11010058
100006533,11002200
100006535,11004272
100006540,11003645
100006548,11007031
100006549,11040704
100006550,11232132
100006551,11003615
100006552,11208801
100006560,11002652
100006572,11067258
100006579,11012215
100006581,11001147
100006583,11002187
100006584,11325267
100006589,11004413
100006631,11162575
100006633,11010860
100006654,11010057
100006661,11011545
100006671,11012978
100006674,11012943
100006699,11223121
100006708,11047406
100006711,11002513
100006718,11003002
100006719,11066848
100006720,11066985
100006722,11067610
100006733,11078082
100006739,11079031
100006746,11066889
100006752,11086289
100006766,11132402
100006767,11095507
100006770,11012017
100006771,11097476
100006785,11096628
100006807,11185706
100006821,11127562
100006828,11044723
100006829,11125994
100006831,11010139
100006838,11129215
100006840,11210594
100006841,11236199
100006853,11127840
100006855,11078601
100006857,11129818
100006859,11130524
100006871,11156477
100006875,11130183
100006876,11130920
100006877,11131168
100006896,11002818
100006898,11147520
100006927,11211892
100006939,11189579
100006958,11152817
100006961,11352653
100006966,11185287
100006971,11160749
100006972,11155290
100007002,11183057
100007003,11130443
100007005,11187932
100007026,11208241
100007036,11339432
100007041,11161679
100007055,11161271
100007058,11250301
100007070,11163304
100007073,11885277
100007076,11167610
100007082,11160269
100007090,11168338
100007104,11203373
100007106,11167276
100007109,11171739
100007119,11184480
100007121,11173111
100007146,11885449
100007149,11178893
100007157,11180373
100007188,11463372
100007198,11357346
100007207,11188470
100007208,11201390
100007228,11616625
100007233,11191616
100007236,11182603
100007239,11191358
100007241,11002370
100007247,11212351
100007256,11456569
100007258,11194343
100007262,11224045
100007263,11195010
100007270,11554151
100007283,11351676
100007284,11033646
100007290,11156658
100007293,11194547
100007305,11198492
100007313,11197316
100007322,11885070
100007327,11199944
100007342,11200896
100007345,11316737
100007358,11201849
100007361,11201719
100007375,11202799
100007378,11203092
100007387,11212983
100007388,11688696
100007392,11200447
100007393,11236821
100007403,11268440
100007405,11242317
100007406,11203682
100007416,11205200
100007425,11207207
100007436,11696349
100007444,11208343
100007448,11208367
100007455,11209135
100007458,11211463
100007462,11246428
100007465,11182134
100007476,11209027
100007479,11211206
100007487,11206492
100007489,11272828
100007490,11217909
100007494,11718940
100007495,11213273
100007514,11211896
100007516,11431277
100007542,11219522
100007556,11096396
100007560,11252454
100007561,11884232
100007562,11222195
100007586,11692214
100007603,11224699
100007606,11885258
100007607,11226956
100007609,11227279
100007610,11227676
100007611,11226921
100007623,11158589
100007624,11002987
100007625,11225443
100007626,11213091
100007627,11002650
100007628,11885074
100007629,11160095
100007632,11160757
100007633,11351108
100007637,11708726
100007638,11181627
100007639,11000347
100007643,11709413
100007644,11708093
100007646,11345450
100007648,11350885
100007649,11350395
100007650,11192355
100007741,11224689
100007798,11199626
100007799,11199673
100007804,11203697
100007805,11001375
100007826,11085953
100007857,11085410
100007863,11084218
100007884,11084122
100007885,11085812
100007888,11085191
100007898,11085672
100007909,11085744
100007911,11158763
100007922,11188608
100007924,11195775
100007925,11196425
100007927,11432245
100007931,11217145
100007932,11214047
100007933,11214045
100007939,11149278
100007964,11079305
100007981,11170187
100007985,11232108
100007987,11225440
100007988,11225129
100007989,11223905
100007992,11084672
100007996,11208009
100008004,11174320
100008006,11192612
100008008,11199935
100008009,11199934
100008014,11214061
100008020,11085610
100008303,11112621
100009099,11303538
100009121,11784148
100009122,11537264
100009123,11537236
100009124,11537208
100009133,11537240
100009136,11550651
100009169,11321360
100009207,11294864
100009218,11208366
100009388,11232328
100009389,11694856
100009401,11227739
100009417,11537291
100009420,13402146
100009423,11199036
100009425,11065842
100009427,11173136
100009434,11104135
100009436,11153639
100009437,11104008
100009461,11106536
100009474,11162650
100009477,11160128
100009482,11104032
100009488,11104009
100009498,11228968
100009505,11172673
100009511,11002526
100009521,11229718
100009527,11228853
100009528,11230070
100009533,11229582
100009535,11229716
100009537,11226573
100009539,11229337
100009541,11229300
100009590,11229526
100009601,11203131
100009604,11002962
100009608,11203131
100009611,11149236
100009620,11157306
100009628,11092617
100009636,11158976
100009637,11225283
100009647,11183620
100009654,11170881
100009682,11092629
100009691,11086870
100009704,11086859
100009717,11092596
100009737,11175910
100009747,11203604
100009751,11222000
100009763,11230720
100009769,11230635
100009770,11230596
100009776,11688034
100009779,11231189
100009780,11225615
100009783,11231238
100009809,11112262
100009810,11086852
100009816,11086916
100009825,11230146
100009827,11230961
100009828,11230438
100009834,11232049
100009839,11707560
100009840,11108313
100009846,11092607
100009876,11191261
100009897,11112732
100009904,11160026
100009926,11221023
100009965,11231975
100009979,11104178
100009982,11104125
100009990,11162212
100009993,11219608
100009995,11161622
100009997,11198350
100009998,11212404
100010006,11104161
100010008,11106818
100010014,11104748
100010019,11231895
100010024,11166573
100010025,11173439
100010030,11176842
100010035,11225338
100010036,11225335
100010038,12501088
100010050,11235960
100010076,11168373
100010084,11097762
100010106,11687999
100010117,11233106
100010119,11233134
100010125,11230137
100010128,11289176
100010139,11231236
100010142,11353032
100010153,11233175
100010154,11233176
100010157,11230594
100010160,11503792
100010161,11156850
100010168,11172513
100010170,11181699
100010172,11225270
100010178,11112564
100010179,11226068
100010190,11221943
100010200,11123659
100010210,11233806
100010214,11226093
100010215,11160564
100010228,11176305
100010230,11123677
100010234,11157068
100010249,11123801
100010256,11181933
100010265,11233072
100010274,11229318
100010275,11230143
100010298,11228970
100010314,11172049
100010320,11104079
100010331,11154085
100010334,11222836
100010337,11104278
100010353,11104192
100010359,11179822
100010364,11167019
100010367,11108206
100010374,11108203
100010375,11160124
100010377,11108210
100010378,11200929
100010383,11104110
100010427,11173342
100010540,11123257
100010554,11237619
100010558,11206930
100010560,11184449
100010579,11235210
100010585,11173048
100010617,11708333
100010619,11233989
100010623,11689209
100010628,11234728
100010633,11112581
100010653,11234583
100010658,11234905
100010663,11235271
100010679,11235348
100010749,11332134
100010751,11151011
100010763,11126734
100010790,11044527
100010791,11152582
100010796,11235211
100010821,11002349
100010883,11218987
100010889,11334424
100010892,11237100
100010893,11691108
100010995,11123519
100011002,11212362
100011078,11234165
100011109,11160950
100011112,11226640
100011184,11208516
100011189,11691858
100011197,11233875
100011229,11161778
100011242,11236847
100011304,11237484
100011309,12856949
100011316,11112436
100011329,11161778
100011341,11161778
100011361,11211710
100011365,11227759
100011370,11232617
100011373,11230045
100011375,11691300
100011386,11235983
100011393,13145868
100011394,11233125
100011395,11688868
100011402,11688151
100011404,11220969
100011408,11232640
100011409,11228077
100011413,11233974
100011415,11217327
100011420,11235475
100011424,11248830
100011439,12006384
100011458,13558536
100011468,11360960
100011469,11235425
100011472,11155835
100011474,11235905
100011475,11206087
100011476,11695983
100011480,13156492
100011483,11232325
100011497,11696391
100011502,11224002
100011504,11695247
100011507,11156562
100011519,11235741
100011520,11232545
100011523,11235590
100011525,11232161
100011530,11232569
100011536,11153184
100011539,11154791
100011541,11063272
100011543,11232105
100011544,11694980
100011553,11220965
100011554,11235700
100011555,11315452
100011569,11333864
100011570,11233879
100011573,11228925
100011574,11086792
100011576,11228067
100011584,11232598
100011588,11696256
100011596,11226723
100011597,11227443
100011610,11237939
100011613,11237798
100011614,11237782
100011616,11237969
100011619,11237843
100011622,11237704
100011624,11884364
100011648,11312840
100011721,13610184
100011864,11276410
100011945,11217139
100012016,11205262
100012034,11001834
100012075,11002578
100012123,11329341
100012144,11356353
100012164,11334875
100012236,11199036
100012272,11688206
100012297,11248838
100012466,11241136
100012563,11002243
100012631,11884624
100012696,11130896
100012726,11129484
100012730,11002688
100012744,11269409
100012791,11202826
100012801,11067923
100012802,11232113
100012808,11235528
100012811,11108365
100012813,11694802
100012814,11232542
100012818,11232662
100012821,11223040
100012823,11353617
100012828,11222544
100012833,11225439
100012834,11695737
